msft,132.0,232.63,0.22,0.09
tsla,169.0,672.0,3.94,0.59
pltr,65.0,24.87,0.12,0.48
ge,113.0,13.1,-0.15,-1.13
amzn,27.0,3060.51,2.88,0.09
td,92.0,64.18,-0.13,-0.2
cent,23.0,51.35,0.0,0.0
mstr,15.0,768.0,11.45,1.51
crsr,23.0,33.33,0.19,0.57
gold,66.0,20.14,0.02,0.1
sabr,29.0,15.46,0.01,0.06
dow,73.0,64.09,0.0,0.0
pro,38.0,46.89,0.0,0.0
exp,58.0,130.73,0.0,0.0
shop,52.0,1092.5,4.6,0.42
ride,73.0,16.97,-0.03,-0.18
fix,24.0,74.7,0.0,0.0
ccl,23.0,26.87,0.17,0.64
pfe,42.0,35.05,0.12,0.33
b,26.0,55.52,0.0,0.0
ceo,111.0,121.86,0.1,0.08
co,28.0,4.8,0.0,0.0
bngo,42.0,8.75,0.08,0.92
spot,32.0,271.0,0.81,0.3
plus,91.0,104.36,0.0,0.0
cc,84.0,26.94,0.0,0.0
ev,60.0,73.07,-0.72,-0.98
u,16.0,99.99,0.1,0.1
nvda,49.0,500.5,1.77,0.35
gme,760.0,270.02,5.02,1.89
xom,20.0,61.85,0.08,0.14
sndl,30.0,1.32,0.01,0.76
road,23.0,30.75,0.02,0.07
ko,25.0,51.47,0.03,0.06
mar,90.0,147.14,0.0,0.0
dk,21.0,24.86,0.0,0.0
sp,23.0,34.68,0.0,0.0
imo,40.0,0.0,0.0,0.0
man,33.0,100.22,0.0,0.0
dd,237.0,77.18,0.49,0.64
amkr,18.0,21.52,0.0,0.0
nflx,16.0,505.77,1.23,0.24
eyes,47.0,11.06,-0.57,-4.9
unfi,24.0,36.77,0.71,1.97
box,17.0,21.17,0.06,0.28
ford,37.0,3.61,0.07,1.98
boom,21.0,66.9,0.0,0.0
fubo,15.0,30.1,0.05,0.17
rsi,43.0,18.39,1.84,11.12
mms,20.0,85.98,0.0,0.0
site,51.0,170.6,0.0,0.0
bill,81.0,144.76,0.0,0.0
door,15.0,116.8,0.0,0.0
fast,127.0,46.15,0.0,0.0
c,23.0,73.95,0.2,0.27
wish,38.0,16.65,0.02,0.12
xl,22.0,11.97,0.07,0.59
self,16.0,4.87,0.0,0.0
form,45.0,43.18,0.0,0.0
live,81.0,24.25,0.0,0.0
ibkr,43.0,78.3,-0.1,-0.13
w,38.0,314.99,4.98,1.61
six,29.0,48.08,0.0,0.0
goog,21.0,2055.03,0.0,0.0
leg,51.0,49.32,0.0,0.0
rh,50.0,460.87,0.0,0.0
onto,15.0,60.5,0.0,0.0
t,21.0,30.0,0.01,0.02
air,24.0,43.2,0.0,0.0
bc,24.0,98.92,0.0,0.0
ta,21.0,27.04,0.0,0.0
gsl,20.0,14.52,0.0,0.0
loan,19.0,5.44,0.0,0.0
mod,15.0,15.25,0.0,0.0
team,49.0,225.69,0.0,0.0
mac,16.0,13.9,0.15,1.09
dte,35.0,126.23,0.0,0.0
oi,17.0,12.73,0.0,0.0
spce,15.0,30.78,0.19,0.62
d,15.0,73.25,0.04,0.05
ccs,21.0,63.11,0.0,0.0
rare,35.0,119.96,0.0,0.0
roku,22.0,357.08,0.54,0.15
dash,25.0,135.77,0.0,0.0
mtn,24.0,305.19,0.0,0.0
bb,90.0,10.35,0.01,0.05
tlry,34.0,24.39,0.29,1.2
ai,46.0,84.74,0.18,0.21
rkt,156.0,25.75,-0.2,-0.77
es,18.0,81.69,0.0,0.0
amd,64.0,77.7,0.18,0.23
jnj,19.0,159.25,0.09,0.06
sq,19.0,227.74,1.01,0.45
edit,27.0,46.71,0.05,0.11
net,138.0,71.0,0.51,0.72
v,24.0,223.66,0.49,0.22
wmt,17.0,132.47,0.29,0.22
aapl,181.0,120.06,0.08,0.07
fslr,15.0,75.15,-0.57,-0.75
taco,31.0,11.11,0.0,0.0
ath,41.0,49.8,0.0,0.0
amat,15.0,113.14,0.45,0.4
turn,111.0,7.3,0.0,0.0
met,19.0,60.48,0.0,0.0
rng,20.0,334.56,0.0,0.0
cool,23.0,9.96,0.0,0.0
peak,44.0,30.77,0.0,0.0
z,36.0,147.57,0.61,0.42
dis,37.0,195.28,0.22,0.11
ba,31.0,247.0,1.66,0.68
uk,45.0,3.26,-0.02,-0.61
amc,268.0,10.5,0.65,6.6
step,42.0,30.88,0.0,0.0
wash,114.0,53.98,0.0,0.0
nio,57.0,41.74,0.42,1.02
nok,38.0,3.97,0.01,0.25
rblx,111.0,69.35,24.35,54.11
tv,24.0,7.98,0.0,0.0
aso,20.0,24.61,0.03,0.12
tsm,49.0,114.04,0.21,0.18
asx,37.0,7.2,0.03,0.42
leap,62.0,12.19,-0.06,-0.49
ship,15.0,1.21,-0.01,-0.82
pace,47.0,10.3,0.0,0.0
teva,22.0,11.19,-0.07,-0.62
tr,21.0,33.6,0.0,0.0
pure,24.0,0.75,0.0,0.0
uwmc,60.0,8.64,0.06,0.7
info,126.0,93.94,0.0,0.0
ebon,49.0,7.15,0.27,3.92
