Stock,Count,Price,Points,Percentage
rblx,111.0,69.35,24.35,54.11
mstr,15.0,768.0,11.45,1.51
gme,760.0,270.02,5.02,1.89
w,38.0,314.99,4.98,1.61
shop,52.0,1092.5,4.6,0.42
tsla,169.0,672.0,3.94,0.59
amzn,27.0,3060.51,2.88,0.09
rsi,43.0,18.39,1.84,11.12
nvda,49.0,500.5,1.77,0.35
ba,31.0,247.0,1.66,0.68
nflx,16.0,505.77,1.23,0.24
sq,19.0,227.74,1.01,0.45
spot,32.0,271.0,0.81,0.3
unfi,24.0,36.77,0.71,1.97
amc,268.0,10.5,0.65,6.6
z,36.0,147.57,0.61,0.42
roku,22.0,357.08,0.54,0.15
net,138.0,71.0,0.51,0.72
dd,237.0,77.18,0.49,0.64
v,24.0,223.66,0.49,0.22
amat,15.0,113.14,0.45,0.4
nio,57.0,41.74,0.42,1.02
tlry,34.0,24.39,0.29,1.2
wmt,17.0,132.47,0.29,0.22
ebon,49.0,7.15,0.27,3.92
dis,37.0,195.28,0.22,0.11
tsm,49.0,114.04,0.21,0.18
c,23.0,73.95,0.2,0.27
crsr,23.0,33.33,0.19,0.57
spce,15.0,30.78,0.19,0.62
ai,46.0,84.74,0.18,0.21
amd,64.0,77.7,0.18,0.23
ccl,23.0,26.87,0.17,0.64
mac,16.0,13.9,0.15,1.09
pltr,65.0,24.87,0.12,0.48
pfe,42.0,35.05,0.12,0.33
ceo,111.0,121.86,0.1,0.08
u,16.0,99.99,0.1,0.1
jnj,19.0,159.25,0.09,0.06
bngo,42.0,8.75,0.08,0.92
xom,20.0,61.85,0.08,0.14
aapl,181.0,120.06,0.08,0.07
ford,37.0,3.61,0.07,1.98
xl,22.0,11.97,0.07,0.59
box,17.0,21.17,0.06,0.28
uwmc,60.0,8.64,0.06,0.7
fubo,15.0,30.1,0.05,0.17
edit,27.0,46.71,0.05,0.11
d,15.0,73.25,0.04,0.05
ko,25.0,51.47,0.03,0.06
aso,20.0,24.61,0.03,0.12
asx,37.0,7.2,0.03,0.42
gold,66.0,20.14,0.02,0.1
road,23.0,30.75,0.02,0.07
wish,38.0,16.65,0.02,0.12
sabr,29.0,15.46,0.01,0.06
sndl,30.0,1.32,0.01,0.76
t,21.0,30.0,0.01,0.02
bb,90.0,10.35,0.01,0.05
nok,38.0,3.97,0.01,0.25
cent,23.0,51.35,0.0,0.0
dow,73.0,64.09,0.0,0.0
pro,38.0,46.89,0.0,0.0
exp,58.0,130.73,0.0,0.0
fix,24.0,74.7,0.0,0.0
b,26.0,55.52,0.0,0.0
co,28.0,4.8,0.0,0.0
plus,91.0,104.36,0.0,0.0
cc,84.0,26.94,0.0,0.0
mar,90.0,147.14,0.0,0.0
dk,21.0,24.86,0.0,0.0
sp,23.0,34.68,0.0,0.0
imo,40.0,0.0,0.0,0.0
man,33.0,100.22,0.0,0.0
amkr,18.0,21.52,0.0,0.0
boom,21.0,66.9,0.0,0.0
mms,20.0,85.98,0.0,0.0
site,51.0,170.6,0.0,0.0
bill,81.0,144.76,0.0,0.0
door,15.0,116.8,0.0,0.0
fast,127.0,46.15,0.0,0.0
self,16.0,4.87,0.0,0.0
form,45.0,43.18,0.0,0.0
live,81.0,24.25,0.0,0.0
six,29.0,48.08,0.0,0.0
goog,21.0,2055.03,0.0,0.0
leg,51.0,49.32,0.0,0.0
rh,50.0,460.87,0.0,0.0
onto,15.0,60.5,0.0,0.0
air,24.0,43.2,0.0,0.0
bc,24.0,98.92,0.0,0.0
ta,21.0,27.04,0.0,0.0
gsl,20.0,14.52,0.0,0.0
loan,19.0,5.44,0.0,0.0
mod,15.0,15.25,0.0,0.0
team,49.0,225.69,0.0,0.0
dte,35.0,126.23,0.0,0.0
oi,17.0,12.73,0.0,0.0
ccs,21.0,63.11,0.0,0.0
rare,35.0,119.96,0.0,0.0
dash,25.0,135.77,0.0,0.0
mtn,24.0,305.19,0.0,0.0
es,18.0,81.69,0.0,0.0
taco,31.0,11.11,0.0,0.0
ath,41.0,49.8,0.0,0.0
turn,111.0,7.3,0.0,0.0
met,19.0,60.48,0.0,0.0
rng,20.0,334.56,0.0,0.0
cool,23.0,9.96,0.0,0.0
peak,44.0,30.77,0.0,0.0
step,42.0,30.88,0.0,0.0
wash,114.0,53.98,0.0,0.0
tv,24.0,7.98,0.0,0.0
pace,47.0,10.3,0.0,0.0
tr,21.0,33.6,0.0,0.0
pure,24.0,0.75,0.0,0.0
info,126.0,93.94,0.0,0.0
ship,15.0,1.21,-0.01,-0.82
uk,45.0,3.26,-0.02,-0.61
ride,73.0,16.97,-0.03,-0.18
leap,62.0,12.19,-0.06,-0.49
teva,22.0,11.19,-0.07,-0.62
ibkr,43.0,78.3,-0.1,-0.13
td,92.0,64.18,-0.13,-0.2
ge,113.0,13.1,-0.15,-1.13
rkt,156.0,25.75,-0.2,-0.77
eyes,47.0,11.06,-0.57,-4.9
fslr,15.0,75.15,-0.57,-0.75
ev,60.0,73.07,-0.72,-0.98
